address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions
0xdf146838df8b9f450122bbc4cb2570357e222c17,0.0000,0.0000,0.000000,0.0000,1085,0.406452,0.001299,175,441
0x26625cf2c9c0388a396a699dd377c1c05c571056,1.3922,1.1555,0.003212,0.0000,2239,0.089772,0.004471,113,201
0xa70b2e3a172b1c237fa2a3e295c4cb0008b66d73,0.0000,0.0000,0.000000,0.0000,1776,0.149212,0.013110,72,265
0x32267d604f90acaf3469d7f34e5458093911fa9f,1.8181,1.5090,0.000479,0.0000,1559,0.432328,0.000871,267,674
0x16248c2b45e839a8ab309cb1110b73af4c09c39c,2.2396,1.8728,8.106612,0.0000,1566,0.118135,18.155583,17,185
0x9749eed9fe2027697c755d906c1ae70af44e9a92,1.3827,1.1477,0.000689,0.0000,1322,1.105900,0.000953,458,1462
0x75ae38124c4d5b3a384eda37860d2a3ebabb0316,1.3811,1.1463,0.001596,0.0000,1075,0.123721,0.002204,55,133
0x64e55c710550a89d00f39e38dfd07548b51b4943,0.0000,0.0000,0.000000,0.0000,1801,0.666297,0.004236,422,1200
0x006970fd32059734e586a323b13fc1ce625f296b,1.3733,1.1398,0.003194,0.0000,1300,0.245385,0.004387,157,319
0xc9f7c89b408cb1fc2e0b53f1166130d59e037cef,4.1566,3.5746,1.381752,0.0000,502,0.193227,5.743336,14,97
0x65e3a6cb2bb495cad680538b218ca556d6e8df02,0.0000,0.0000,0.000000,0.0000,1868,0.004283,0.095133,5,8
0x862c761204238c0cc33c58473bc7215546c8a078,2.9817,2.4748,0.000308,0.0000,1538,0.141743,0.000918,95,218
0x1349a104580a3c1cc1008e2dd805a09805c39e33,1.3651,1.1330,0.000224,0.0000,1391,0.163911,0.000305,95,228
0x0b2d536df0426fc6d8f5a0086f00029b1a28cd42,1.2269,1.0060,0.002245,0.0000,1450,0.381379,0.002755,127,553
0x3c8af873ccf3379491750835130d1d81beecc9c3,1.3376,1.0736,0.001607,0.0000,1621,0.558914,0.002149,280,906
0x7a8c5da952f491507a34692cf53a5a8e3e2c214a,0.0000,0.0000,0.000000,0.0000,1221,0.015561,0.150374,6,19
0x939da7e28aaf527a95c89b435916b3eda9623bdc,4.3888,3.7441,6.493576,0.0000,1337,0.026926,28.498941,13,36
0x36beeda32a208149d92f07996a8600b7a105ded7,0.0000,0.0000,0.000000,0.0000,1228,0.519544,0.001323,261,638
0x014824fda94b722820b504b7ffde78d27bd8e2b4,1.3580,1.1271,0.002240,0.0000,1325,0.396981,0.003042,221,526
0x5ef9f94c5708b01d67985e46fd53f15cf0da4d2c,1.3724,1.1391,0.002235,0.0000,1607,1.353454,0.003067,334,2175
0xa3b6578d97c6c361097402ff9e36c704eb67b56b,1.3225,1.1374,0.001848,0.0000,1506,0.028552,0.002444,14,43
0x58e4a865d0bb317fff4bdad1e0953e37eaff1ae0,0.0000,0.0000,0.000000,0.0000,778,0.242931,1.755978,15,189
0xa94fed541bdc4c82a02db3c926dfcc85d63d526c,1.4182,1.1771,0.000967,0.0000,1810,0.155249,0.001372,137,281
0x5607059a32f0d7228815dd5b36a8b3e40637c380,1.4182,1.1771,0.001606,0.0000,1344,0.233631,0.002277,125,314
0xfde18bd06a2ba20f6241bcdac5ffc7c8ba8619c4,1.4303,1.1871,0.001285,0.0000,1336,0.089820,0.001837,77,120
0x4a2ff57467db1290cf32cf106c96987d5f4eca1a,1.4354,1.1914,0.000316,0.0000,1493,0.484930,0.000454,241,724
0x09692df3425901eff74b3db470c0a72c2418d8df,1.5507,1.2871,0.002346,0.0000,1440,0.105556,0.003638,68,152
0xc106102a2de3105dea6cb2401eb00efe5dc0ce59,3.0824,2.6391,0.332497,0.0000,2762,0.080739,1.024889,80,223
0x435c5cb1fa23ad1fc68f2a6d07ad567b9ad58244,1.9565,1.4496,0.270879,0.0000,1573,0.114431,0.529984,24,180
0xf6c016e4c9cf2ccb79de50fc2ae65512ab199f8d,1.5237,1.2647,0.006419,0.0000,2552,0.138715,0.009781,139,354
0x20ae2b1fbda4508c555b6bb264897e0a55f1181d,0.0000,0.0000,0.000000,0.0000,1338,0.033632,0.002143,16,45
0xecdf968b7ae8fce5d16736b75cca2ff6d857e192,2.5509,2.0918,0.299875,0.0000,155,0.432258,0.764959,14,67
0xda09dc389d5710579550199a75753d28addb31d1,1.4210,1.2343,3.449516,0.0000,2791,0.041562,4.901806,34,116
0x957626494c9b916b325f71e84b4bf08d8eb640cb,7.8682,6.4519,2.290098,0.0000,1321,0.056775,18.018905,24,75
0x43ab5dbe4c348964e1c91ad6adfcaa45f6b24bfd,1.2936,0.9961,0.001036,0.0000,1275,0.163922,0.001341,58,209
0x27a0f68c5877c3f2a05575e7e4edbbf4c7695fb1,3.0222,2.4782,1.461713,0.0000,2896,0.421616,4.417518,234,1221
0x0319bc4625896d0d8dd3c2d4c3fff7b5d611da44,4.9536,4.1110,162.094371,0.0000,1803,0.905158,802.952741,234,1632
0x7a0352072b234fab2c6e64c99b13ec8d3aa713ff,0.0000,0.0000,0.000000,0.0000,194,0.195876,0.001000,22,38
0xf96081f23caebba2e338473561d47fd91a997bb0,3.4648,2.2521,76.319477,0.0000,2868,0.156555,264.429282,126,449
0x8d4bf143f5a5a7bcd3a7993f31990a913847e943,3.4490,2.8626,1.476732,0.0000,986,0.049696,5.093178,22,49
0x6d25eb10bc4d5dd9e596f2a5cc1e14923f47e190,1.7324,1.4379,0.000645,0.0000,2937,0.460334,0.001117,467,1352
0x613242554289c192e7da173e9f1dfaa2597bbfa7,0.0000,0.0000,0.000000,0.0000,1273,0.301650,0.003005,153,384
0xd9c1570148e36ff9657b67ace540052341ddf7de,1.3350,1.1080,0.020376,0.0000,1704,0.173122,0.027201,128,295
0x059f825206540fee5b529091c594a8809b0cf218,1.7279,1.4341,0.000957,0.0000,1487,1.143914,0.001654,641,1701
0x503fac9c765ce7462428bffa6982cf14caff609b,2.1159,1.7350,29.067446,0.0000,1559,0.232842,61.502704,66,363
0x3dfadcf87494364735076cd50be4a62864e65ded,5.7381,4.9347,1.146684,0.0000,1299,0.113164,6.579751,31,147
0x46eb06d5f4c8e69593ad72f81c8e61197b83807a,1.3601,1.1445,158.281827,0.0000,1441,0.109646,215.278695,44,158
0xc29f54fac5905829e4c9fa6273c9e327b098100d,1.6939,1.4059,0.000320,0.0000,1160,0.039655,0.000543,28,46
0xe4c48a79cf07d894833f049f3dec640130a7b067,1.7543,1.4729,14.067027,0.0000,1362,0.119677,24.677326,31,163
0x207053a23d86fe3697dc073461f293894a931a72,1.7226,1.4298,0.001680,0.0000,1598,1.617021,0.002893,716,2584
0x68b18d388994336f341b4997360bb45f9f8701c9,1.8318,1.5557,8.143071,0.0000,1663,0.754660,14.916134,287,1255
0x555cf9846488c364cfdb37148108711c2621803e,0.0000,0.0000,0.000000,0.0000,39,0.102564,0.029345,4,4
0x05fbc20d48282b9d446e0f8633950fa415836f34,1.5975,1.3294,0.079086,0.0000,1117,0.054611,0.126338,9,61
0x323bfe9f384e88111e83f37ed7a854d0cc5f99d7,2.0087,1.6672,0.001122,0.0000,1426,0.376578,0.002253,233,537
0x2594bcad3314cac904a79d2a607276910f2b3893,2.0143,1.6719,0.000802,0.0000,1776,0.604167,0.001615,482,1073
0x871ebdea1828711543318afd863bd2ac741b8699,0.0000,0.0000,0.000000,0.0000,1628,0.072482,5.055202,43,118
0x9ef88eff65a840aa580b0d349aa3b200be1febc0,0.0000,0.0000,0.000000,0.0000,48,0.833333,2.507447,13,40
0x2152d12dd450f5c518cad56207952f0ea7f6e01e,1.3059,1.0055,0.006745,0.0000,1556,0.091260,0.008808,43,142
0x8f57174838d1acf10961c25f5bab60905deadb92,1.9593,1.6262,0.000160,0.0000,1534,0.186441,0.000313,159,286
0x80144b11ae6f1ff182c68500bc41376c1fc880d9,0.0000,0.0000,0.000000,0.0000,969,0.068111,18.767710,20,66
0xeda3a5e3ce89f163827fd26f4533970606c4cbff,0.0000,0.0000,0.000000,0.0000,115,0.078261,0.011039,9,9
0x832e371c6c8fcce4f24588f66362d98b8fbd16d4,0.0000,0.0000,0.000000,0.0000,1176,0.148810,0.003454,111,175
0x323f4f140e2a38a7604b9cb1a0928dfa5566ec91,2.3334,1.9368,0.001619,0.0000,1553,0.688989,0.003778,364,1070
0xf115a0019e7048a6a5bdadaec8d61ba5e245c163,1.7470,1.3452,0.735229,0.0000,1525,0.005902,1.284436,5,9
0xdeb6f026cdfa8ab1130875aacee3312aa0c3f915,1.9309,1.6330,0.003032,0.0000,1883,2.712693,0.005854,386,5108
0x28c05b0154ceb8df4b2e345ab04ec046175d1f6b,2.0787,1.7253,0.000638,0.0000,2364,0.030034,0.001326,38,71
0xe09740aa3208a33fed3c7053d37bf093b4262df0,2.0787,1.7253,0.000364,0.0000,1058,0.122873,0.000756,71,130
0x43cb48a05a7f642d8942eaaaaef9ae55de541ccd,0.0000,0.0000,0.000000,0.0000,303,0.069307,0.005583,8,21
0xf8469f6128fabc7169c5fb365e42be0ef5d4cf13,2.1140,1.7546,0.000537,0.0000,1802,0.290233,0.001135,189,523
0x8ef6a32207b6c8269ef79b416779da5d446c3c80,2.8542,2.4575,2.127523,0.0000,1473,0.049559,6.072469,21,73
0x5ee4c8af6d8bf62982e6721ff639ef6dad41df87,1.5479,1.1919,0.005263,0.0000,783,0.026820,0.008147,11,21
0x6912ff67004c404ce3e1998afcebc3911241d072,0.0000,0.0000,0.000000,0.0000,1173,0.038363,3.512505,12,45
0x510f3c959ab647681acde24c09b39e252b799dcb,3.0996,2.0126,37.434363,0.0000,1665,0.219219,116.032971,56,365
0xe55dfa1afcbc0d643adc8d43f8fb8b0edb08d214,2.2373,1.8570,0.001606,0.0000,1200,0.022500,0.003593,15,27
0x80932473a47c6c3788ea4a949335b1c7cf226577,2.1912,1.8187,0.001606,0.0000,2888,0.050554,0.003519,65,146
0x06f2fa5d8724be0f269ddde588da3ebb5f914dcd,2.1787,1.8737,0.004989,0.0000,1560,0.038462,0.010869,31,60
0x156afa05af36b7a274becd6169c2e86e5d2811bb,0.0000,0.0000,0.000000,0.0000,214,0.098131,0.008256,12,21
