repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,cluster,anomaly,score_raw,rank,credit_score
2.2291,1.8502,0.001612,0.0,1200,0.0225,0.003593,15,27,0,1,-0.2841926936019462,1561.0,355.1903114186851
2.1831,1.812,0.001612,0.0,2889,0.050537,0.003519,65,146,0,1,0.20312681243433242,138.0,806.5455594002307
2.1706,1.8667,0.005007,0.0,1560,0.038462,0.010869,31,60,0,1,-0.17721080250244212,1253.0,452.883506343714
0.0,1.157920892373162e+59,0.0,0.0,215,0.097674,0.008256,12,21,0,1,-0.3385765550914442,1652.0,326.3264129181084
0.0,1.157920892373162e+59,0.0,0.0,1072,0.045709,0.00131,21,49,0,1,-0.10605950634957198,919.0,558.8235294117646
2.0018,1.6615,0.000961,0.0,2759,0.085901,0.001923,95,237,0,1,0.1842708435192665,159.0,799.8846597462514
0.0,1.157920892373162e+59,0.0,0.0,70,2.814286,0.001997,62,197,0,-1,0.010238994863737666,599.0,660.3229527104959
1.9648,1.6308,0.000103,0.0,1177,0.24554,0.000203,92,289,0,1,-0.22783160196413788,1426.0,398.0103806228374
0.0,1.157920892373162e+59,0.0,0.0,2759,0.023197,0.014369,24,64,0,1,0.3567122834514436,47.0,835.4094579008074
1.9185,1.5924,0.000673,0.0,1848,0.257576,0.001292,220,476,0,1,0.0006056156855289317,633.0,649.5386389850057
1.8924,1.4869,0.003249,0.0,2887,0.868375,0.006148,657,2507,2,1,0.5800199263004754,53.0,661.8421052631579
1.9287,1.6008,0.000319,0.0,1146,0.096859,0.000615,45,111,0,1,-0.2771980069204415,1538.0,362.48558246828145
