address,repayment_ratio,liquidation_ratio,total_borrowed,portfolio_diversity,account_age_days,activity_frequency,total_collateral,unique_tokens,total_transactions,kmeans_cluster,anomaly
0xd095eb8a3e54aa1e8966be3556a7a183b45e251e,1.4021,1.1637,0.000447,0.0,1156,0.441176,0.000627,9,510,0,1
0x2252050a7e42e6eaf47e04609140bf73e0f4a998,1.3987,1.1609,0.000956,0.0,1680,0.130952,0.001337,13,220,0,1
0xe4eb8618c89cce2644707604ca9e0848af945028,1.3996,1.1617,0.00188,0.0,1741,0.174038,0.002632,13,303,0,1
0x1bb77e121b1ac9083c3c958437086d93bab4b128,0.0,1.157920892373162e+59,0.0,0.0,1363,0.219369,0.005654,13,299,0,1
0xc128170d8ae71d51dfabdccd1c0ff88444580597,1.4098,1.1701,0.002251,0.0,1361,0.307127,0.003173,8,418,0,1
0x11080cc3cb83ae4a4241f48192794cb98c7a75c4,1.4098,1.1701,0.000447,0.0,1319,0.125853,0.000631,1,166,0,1
0xe2a5db9e741cdf93e9c2eea6e4247ca58bf62024,0.0,1.157920892373162e+59,0.0,0.0,1614,0.035316,0.120042,2,57,0,1
0x482562904a8990c55d7d58ea318bde477931a168,800110.403,656090.5305,6.8e-05,0.0,1779,1.415964,54.269843,11,2519,1,-1
0x7f689846082b2b086fd9a899c61c16e9d0f6c31f,1.217,1.0101,0.074039,0.0,938,0.073561,0.090103,7,69,0,1
0x53e3aea8ba8f0d6cb821e650cee22c1f1e7dd12c,1.3815,1.1889,0.274215,0.0,1001,0.273726,0.378815,3,274,0,1
0xc61c2f6769dad4b5a99fa13cead5e007739b85f1,0.0,1.157920892373162e+59,0.0,0.0,1437,0.171886,0.00221,5,247,0,1
0x735587aa624a21bcdb2b4558dfed94508b32af83,1.8874,1.5477,5.919092,0.0,1815,0.29146,11.171574,18,529,0,1
0x7b9deffca9356a99f95759afc6e709422d845a7c,3.7438,2.8827,0.00029,0.0,1479,0.171062,0.001087,4,253,0,1
0x15b7ecf1f55d05dc8246c484230792e71bcb41a2,1.4829,1.2308,0.000321,0.0,1330,0.1,0.000476,6,133,0,1
0xa63fce6b18153fff324741789b49b1f0d885b174,1.4647,1.2157,0.00016,0.0,1818,0.084708,0.000235,24,154,0,1
0x9d9c1715c66cbee0566f509b8db7344095d93622,1.4892,1.2361,0.000159,0.0,2361,0.592969,0.000238,88,1400,0,1
0x8a0c098e896fa309828a35ce714403d23cbbcf3a,1.4892,1.2361,0.000277,0.0,1349,0.633062,0.000413,45,854,0,1
0x32fdc6549b11badc23e8728b234b6b8b51d0445e,1.4896,1.2364,0.00016,0.0,1148,0.046167,0.000238,1,53,0,1
0x19b421632a376335ab767e651e69ad9d378b2f54,1.4806,1.2302,0.000872,0.0,1133,0.112092,0.00129,2,127,0,1
0x53d8edf6a54239eb785ec72213919fb6b6b73598,0.0,1.157920892373162e+59,0.0,0.0,1658,1.337153,0.074449,18,2217,0,1
0x238643d4106c7c6206f8dc31acb59cd24c979d12,1.3344,1.1031,0.008621,0.0,1242,2.707729,0.011504,9,3363,0,1
0x0985949bd60d4ff68043d461e8989bef8e9b3237,1.4448,1.1991,0.000957,0.0,1370,0.251825,0.001383,6,345,0,1
0x239be1f15e673538b6b5b41ca843a9ae37fd7599,1.4212,1.1796,0.000959,0.0,1441,0.292158,0.001363,16,421,0,1
0x12b21d1e73b3b48d73da04ed05417b392c7fe55f,1.428,1.1852,0.000398,0.0,1517,0.227423,0.000568,15,345,0,1
0xb3f2a049ba7ff3debad43515e8f29c9fc31c5d06,0.0,1.157920892373162e+59,0.0,0.0,1518,0.075758,0.002725,5,115,0,1
0xfcaf23cd231a119c7eee6eb0d6a795de1739c541,1.5654,1.1683,0.003026,0.0,1297,0.639167,0.004738,21,829,0,1
0xec75f9c19da955603c411f921048e7f864c6691b,7.2425,6.2285,2.611757,0.0,1466,0.137108,18.915576,5,201,0,1
0x82fae5e6f52fe2169e7f774e58585276c4d7f8da,0.0,1.157920892373162e+59,0.0,0.0,75,0.186667,0.001001,1,14,0,1
0x0084ee6c8893c01e252198b56ec127443dc27464,1.1498,1.0061,3.868004,0.0,1409,1.737402,4.447386,19,2448,0,1
0x20c0ffe245c1f21141dfef273de035e855e46b96,1.3538,1.1237,0.000633,0.0,1140,0.281579,0.000857,12,321,0,1
0xc5293c9328e59bbe80c4d92ebbc3253e48d21397,1.3306,1.1044,0.000321,0.0,1312,0.48628,0.000427,18,638,0,1
0x26d56f515e09885d9f3cdcff1699bce1d0a06031,0.0,1.157920892373162e+59,0.0,0.0,11,0.272727,0.138357,1,3,0,1
0xbe9c0606aae22ae06c2400e132a699e082b2b169,0.0,1.157920892373162e+59,0.0,0.0,1690,0.074556,0.021651,5,126,0,1
0x9237305e51715b47f24fbfc7c28810781d970809,1.3494,1.12,0.000959,0.0,1605,0.112773,0.001294,3,181,0,1
0x7876f6af2abc7a3dd0e31683ee4dfe694e8729c2,0.0,1.157920892373162e+59,0.0,0.0,1565,0.398083,27.903711,8,623,0,1
0xf8f1e33fd68be886c9638a636a2ef716801383a4,0.0,1.157920892373162e+59,0.0,0.0,1897,0.597786,0.001094,14,1134,0,1
0x669a6db19c3f688e81a45c080a4d58d038e4bbf3,1.5379,1.3226,0.018118,0.0,1275,0.030588,0.027865,4,39,0,1
0xc5bf64ef4ba1d1c0e63f4d84b849a0a810f708c4,2.6305,2.157,135.957532,0.0,1405,0.084698,357.631072,4,119,2,-1
0xa49203ef11a95e47ac522db53b79c453df0476a5,4.7637,4.1178,0.43033,0.0,2156,0.120594,2.049971,8,260,0,1
0xaf3d382ebbe7970a0aad8a9c8f08469b54f660c0,1.3498,1.1203,0.000319,0.0,1080,0.060185,0.00043,3,65,0,1
0x55bdb3fdfb653c5d51365d5da9cc14e100ffcaa4,1.3498,1.1203,0.000319,0.0,1100,0.075455,0.00043,3,83,0,1
0x2cce68b84b20b512fd19a8342a2146bafcf0bf7f,1.3498,1.1203,0.000351,0.0,1217,0.228431,0.000473,8,278,0,1
0x5bc52e705e14c0146e30ea69d39e33fd7e042142,1.3639,1.132,0.002551,0.0,1412,0.298867,0.003479,6,422,0,1
0x1fe53d002f4a2dcd46cff405a1b5e34d01e4eb90,5.2364,4.5033,0.533265,0.0,1487,0.02152,2.7924,2,32,0,1
0x994f21ad9f08e71557001c5edcc8bb44bcd00f59,1.5664,1.0182,0.017723,0.0,1423,0.02811,0.027762,6,40,0,1
0x131a594616312a1de33777113acebe73eae0368b,27.5479,18.7408,0.208958,0.0,1787,0.123671,5.756351,3,221,0,1
0xc135725230a91b002025aeeb97dc8c29dd026cad,3.121,2.5904,9.89058,0.0,2811,0.135539,30.868379,11,381,0,-1
0xa323a54987ce8f51a648af2826beb49c368b8bc6,1.3265,1.101,0.000318,0.0,1626,0.271833,0.000422,15,442,0,1
0x8666e8b85aada05af6350b57595f1cde004b2793,2.2107,1.4368,0.005186,0.0,1552,0.122423,0.011464,8,190,0,1
0x2e5ca30ee0ae2dbd7d61aa29ad141f6e6bdf5378,1.3157,1.092,0.000955,0.0,1075,0.054884,0.001257,2,59,0,1
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,0.0,1.157920892373162e+59,0.0,0.0,1395,0.957706,0.524051,15,1336,0,1
0x8991fb72af79bc853ab58dab690579deae5fd22d,1.6442,1.414,0.023145,0.0,1787,0.184667,0.038056,11,330,0,1
0x9a97dbc9baa91707b5bde45c810536c17b8ceb15,1.3262,1.1008,0.000319,0.0,1802,1.287458,0.000423,39,2320,0,1
0xed74c5126b667e8828e252ffaebc32206f5d21f2,1.1717,1.0253,0.003101,0.0,293,0.109215,0.003633,1,32,0,1
0x249a8621eacf869efa6a5fe1c4c697dfa818e237,1.3447,1.1161,0.001604,0.0,1617,0.283859,0.002157,13,459,0,1
0x06a84a5364af1f043b77e10bce2568e94af76d5a,0.0,1.157920892373162e+59,0.0,0.0,1624,0.663177,0.002081,19,1077,0,1
0xd6901c3ffb6bd0cac3169892d51d7e0001cd13b8,1.3589,1.1279,0.002312,0.0,1368,0.188596,0.003142,15,258,0,1
0x65ef8fd6168a4bc2cfebf83b0c83a8a9b7aad1f9,1.3598,1.1286,0.00192,0.0,2939,0.400817,0.002611,22,1178,0,1
0x9e9e7f7c3a3849afbf4d6302e7698bb139dc1371,1.3522,1.1224,0.00032,0.0,1365,0.066667,0.000433,4,91,0,1
0x2b60f64201d99282a19beb47c455627960395598,1.3522,1.1224,0.000643,0.0,1428,0.095238,0.000869,6,136,0,1
0xd117691943ff00ecdcc8b446e6653444b4b6672b,1.3522,1.1224,0.000224,0.0,1358,0.047128,0.000302,4,64,0,1
0x6d2742b2ccb325aa854cb2648a0841655a7c9c22,1.3522,1.1224,0.000248,0.0,1358,0.049337,0.000336,4,67,0,1
0x026b6e0ffdf858c0fb1b4acb73591873ac9da472,1.3522,1.1224,0.000192,0.0,1317,0.038724,0.000259,3,51,0,1
0x2ef15a729d9a64ca966aee408675c11ff0e2d757,1.3522,1.1224,0.000224,0.0,1317,0.041002,0.000302,4,54,0,1
0x3d1c2f7e32a16e638daa809cbfa697d4fd76f2c2,1.352,1.1221,0.000224,0.0,1317,0.040243,0.000302,3,53,0,1
0x6c19f5d1e8cae3dc31e5b6838aae33fb9d2a242e,1.352,1.1221,0.000169,0.0,2424,0.324257,0.000228,83,786,0,1
